"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 23:54:43 GMT 2024","Fri May 31 23:54:43 GMT 2024","31","unit","","Environment Configuration","","","Check Default with process",""
"passed","Fri May 31 23:54:48 GMT 2024","Fri May 31 23:54:50 GMT 2024","2011","functional","","Codegen Process to POM @codegen","","","Codegen raw capture of ordering",""
"passed","Fri May 31 23:54:46 GMT 2024","Fri May 31 23:54:46 GMT 2024","249","functional","","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"failed","Fri May 31 23:54:57 GMT 2024","Fri May 31 23:54:58 GMT 2024","798","functional","","Tests for Visual Regression @visual","","","My first screenshot",""
"passed","Fri May 31 23:54:44 GMT 2024","Fri May 31 23:54:44 GMT 2024","9","unit","","Environment Configuration","","","Check CI",""
"passed","Fri May 31 23:54:45 GMT 2024","Fri May 31 23:54:45 GMT 2024","262","functional","","Unit Tests for Allure Reports","","","Links Usage basic test",""
"passed","Fri May 31 23:54:47 GMT 2024","Fri May 31 23:54:48 GMT 2024","927","functional","","Unit Tests for Playwright API Testing","","","intercept me",""
"passed","Fri May 31 23:54:46 GMT 2024","Fri May 31 23:54:46 GMT 2024","349","functional","","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"skipped","Fri May 31 23:55:03 GMT 2024","Fri May 31 23:55:03 GMT 2024","0","chromium","","Tests for Swag","","","Order from the inventory and check out",""
"skipped","Fri May 31 23:55:03 GMT 2024","Fri May 31 23:55:03 GMT 2024","0","firefox","","Tests for Swag","","","Order from the inventory and check out",""
"passed","Fri May 31 23:54:45 GMT 2024","Fri May 31 23:54:46 GMT 2024","266","functional","","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"failed","Fri May 31 23:55:00 GMT 2024","Fri May 31 23:55:01 GMT 2024","844","functional","","Tests for Visual Regression @visual","","","second screenshot",""
"passed","Fri May 31 23:54:52 GMT 2024","Fri May 31 23:54:53 GMT 2024","1844","functional","","Codegen Process to POM @codegen","","","Codegen Phase 2 add POM",""
"skipped","Fri May 31 23:55:03 GMT 2024","Fri May 31 23:55:03 GMT 2024","0","chromium","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"skipped","Fri May 31 23:55:03 GMT 2024","Fri May 31 23:55:03 GMT 2024","0","firefox","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"passed","Fri May 31 23:54:46 GMT 2024","Fri May 31 23:54:47 GMT 2024","349","functional","","Unit Tests for Allure Reports","","","Steps usage basic test",""
"skipped","Fri May 31 23:54:56 GMT 2024","Fri May 31 23:54:56 GMT 2024","0","functional","","Lighthouse Sample Audit @lighthouse","","","Sauce Demo landing page",""
"passed","Fri May 31 23:54:50 GMT 2024","Fri May 31 23:54:52 GMT 2024","1800","functional","","Codegen Process to POM @codegen","","","Codegen Phase 1 clean up",""
"skipped","Fri May 31 23:54:56 GMT 2024","Fri May 31 23:54:56 GMT 2024","0","functional","","Lighthouse Sample Audit @lighthouse","","","Angular landing page",""
"passed","Fri May 31 23:54:44 GMT 2024","Fri May 31 23:54:45 GMT 2024","542","functional","","Unit Tests for Allure Reports","","","Labels Usage basic test",""
