"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 22:25:00 GMT 2024","Fri May 31 22:25:00 GMT 2024","8","unit","","Environment Configuration","","","Check CI",""
"passed","Fri May 31 22:25:05 GMT 2024","Fri May 31 22:25:07 GMT 2024","2098","functional","","Codegen Process to POM @codegen","","","Codegen raw capture of ordering",""
"failed","Fri May 31 22:25:19 GMT 2024","Fri May 31 22:25:20 GMT 2024","1002","functional","","Tests for Visual Regression @visual","","","third screenshot",""
"skipped","Fri May 31 22:25:20 GMT 2024","Fri May 31 22:25:20 GMT 2024","0","firefox","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"passed","Fri May 31 22:25:12 GMT 2024","Fri May 31 22:25:13 GMT 2024","552","functional","","Codegen Process to POM @codegen","","","Codegen Start New",""
"passed","Fri May 31 22:25:01 GMT 2024","Fri May 31 22:25:01 GMT 2024","299","functional","","Unit Tests for Allure Reports","","","Id Usage basic test",""
"passed","Fri May 31 22:25:02 GMT 2024","Fri May 31 22:25:03 GMT 2024","299","functional","","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"skipped","Fri May 31 22:25:20 GMT 2024","Fri May 31 22:25:20 GMT 2024","0","webkit","","Tests for Swag","","","Order from the inventory and check out",""
"passed","Fri May 31 22:25:10 GMT 2024","Fri May 31 22:25:12 GMT 2024","2142","functional","","Codegen Process to POM @codegen","","","Codegen Final Phase add Workflow",""
"skipped","Fri May 31 22:25:20 GMT 2024","Fri May 31 22:25:20 GMT 2024","0","firefox","","Tests for Swag","","","Order from the inventory and check out",""
"passed","Fri May 31 22:25:04 GMT 2024","Fri May 31 22:25:05 GMT 2024","981","functional","","Unit Tests for Playwright API Testing","","","intercept me",""
"passed","Fri May 31 22:25:00 GMT 2024","Fri May 31 22:25:00 GMT 2024","11","unit","","Environment Configuration","","","Check local with process",""
"passed","Fri May 31 22:25:07 GMT 2024","Fri May 31 22:25:09 GMT 2024","1805","functional","","Codegen Process to POM @codegen","","","Codegen Phase 1 clean up",""
"skipped","Fri May 31 22:25:13 GMT 2024","Fri May 31 22:25:13 GMT 2024","1","functional","","Lighthouse Sample Audit @lighthouse","","","Angular landing page",""
"skipped","Fri May 31 22:25:20 GMT 2024","Fri May 31 22:25:20 GMT 2024","0","webkit","","Tests for Swag","","","Logging in and out with standard user",""
"skipped","Fri May 31 22:25:13 GMT 2024","Fri May 31 22:25:13 GMT 2024","0","functional","","Lighthouse Sample Audit @lighthouse","","","Sauce Demo landing page",""
"skipped","Fri May 31 22:25:20 GMT 2024","Fri May 31 22:25:20 GMT 2024","0","webkit","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"passed","Fri May 31 22:25:01 GMT 2024","Fri May 31 22:25:02 GMT 2024","282","functional","","Unit Tests for Allure Reports","","","Epics Usage basic test",""
"passed","Fri May 31 22:25:02 GMT 2024","Fri May 31 22:25:02 GMT 2024","282","functional","","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"passed","Fri May 31 22:25:00 GMT 2024","Fri May 31 22:25:00 GMT 2024","13","unit","","Environment Configuration","","","Check Setup Environment Default",""
"passed","Fri May 31 22:25:03 GMT 2024","Fri May 31 22:25:03 GMT 2024","481","functional","","Unit Tests for Playwright API Testing","","","api test",""
"passed","Fri May 31 22:25:01 GMT 2024","Fri May 31 22:25:01 GMT 2024","311","functional","","Unit Tests for Allure Reports","","","Links Usage basic test",""
"passed","Fri May 31 22:25:00 GMT 2024","Fri May 31 22:25:00 GMT 2024","7","unit","","Environment Configuration","","","Check Setup Environment Default with override",""
"passed","Fri May 31 22:25:00 GMT 2024","Fri May 31 22:25:00 GMT 2024","8","unit","","Environment Configuration","","","Check Setup Environment Default with environment",""
"failed","Fri May 31 22:25:14 GMT 2024","Fri May 31 22:25:15 GMT 2024","874","functional","","Tests for Visual Regression @visual","","","My first screenshot",""
"passed","Fri May 31 22:25:00 GMT 2024","Fri May 31 22:25:00 GMT 2024","6","unit","","Environment Configuration","","","Check NODE ENV",""
"skipped","Fri May 31 22:25:20 GMT 2024","Fri May 31 22:25:20 GMT 2024","0","chromium","","Tests for Swag","","","Order from the inventory and check out",""
"passed","Fri May 31 22:25:09 GMT 2024","Fri May 31 22:25:10 GMT 2024","1841","functional","","Codegen Process to POM @codegen","","","Codegen Phase 2 add POM",""
"skipped","Fri May 31 22:25:20 GMT 2024","Fri May 31 22:25:20 GMT 2024","1","chromium","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"passed","Fri May 31 22:25:00 GMT 2024","Fri May 31 22:25:00 GMT 2024","10","unit","","Environment Configuration","","","Check Setup Environment Default with environment and override",""
"passed","Fri May 31 22:25:02 GMT 2024","Fri May 31 22:25:02 GMT 2024","368","functional","","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"passed","Fri May 31 22:25:00 GMT 2024","Fri May 31 22:25:00 GMT 2024","31","unit","","Environment Configuration","","","Check Default with process",""
"skipped","Fri May 31 22:25:20 GMT 2024","Fri May 31 22:25:20 GMT 2024","0","chromium","","Tests for Swag","","","Logging in and out with standard user",""
"passed","Fri May 31 22:25:03 GMT 2024","Fri May 31 22:25:04 GMT 2024","119","functional","","Unit Tests for Playwright API Testing","","","passing context api test",""
"failed","Fri May 31 22:25:17 GMT 2024","Fri May 31 22:25:18 GMT 2024","851","functional","","Tests for Visual Regression @visual","","","second screenshot",""
"passed","Fri May 31 22:25:00 GMT 2024","Fri May 31 22:25:01 GMT 2024","619","functional","","Unit Tests for Allure Reports","","","Labels Usage basic test",""
"passed","Fri May 31 22:25:03 GMT 2024","Fri May 31 22:25:03 GMT 2024","350","functional","","Unit Tests for Allure Reports","","","Steps usage basic test",""
"skipped","Fri May 31 22:25:20 GMT 2024","Fri May 31 22:25:20 GMT 2024","0","firefox","","Tests for Swag","","","Logging in and out with standard user",""
