"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 03:27:38 GMT 2022","Tue Nov 08 03:27:38 GMT 2022","123","chromium","example.spec.ts","Unit Tests for Playwright","","","api test",""
"skipped","Tue Nov 08 03:27:39 GMT 2022","Tue Nov 08 03:27:39 GMT 2022","0","chromium","screenshot.spec.ts","Screenshots","","","second screenshot",""
"passed","Tue Nov 08 03:27:37 GMT 2022","Tue Nov 08 03:27:37 GMT 2022","297","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Epics Usage basic test",""
"passed","Tue Nov 08 03:27:37 GMT 2022","Tue Nov 08 03:27:37 GMT 2022","299","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"passed","Tue Nov 08 03:27:38 GMT 2022","Tue Nov 08 03:27:39 GMT 2022","814","chromium","example.spec.ts","Unit Tests for Playwright","","","intercept me",""
"passed","Tue Nov 08 03:27:37 GMT 2022","Tue Nov 08 03:27:38 GMT 2022","324","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Steps usage Attachments Usage basic test",""
"passed","Tue Nov 08 03:27:38 GMT 2022","Tue Nov 08 03:27:38 GMT 2022","53","chromium","example.spec.ts","Unit Tests for Playwright","","","passing context api test",""
"passed","Tue Nov 08 03:27:36 GMT 2022","Tue Nov 08 03:27:36 GMT 2022","410","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Links Usage basic test",""
"skipped","Tue Nov 08 03:27:39 GMT 2022","Tue Nov 08 03:27:39 GMT 2022","0","chromium","screenshot.spec.ts","Screenshots","","","My first screenshot",""
"passed","Tue Nov 08 03:27:36 GMT 2022","Tue Nov 08 03:27:37 GMT 2022","313","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Id Usage basic test",""
"passed","Tue Nov 08 03:27:37 GMT 2022","Tue Nov 08 03:27:37 GMT 2022","197","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"passed","Tue Nov 08 03:27:38 GMT 2022","Tue Nov 08 03:27:38 GMT 2022","378","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","basic test",""
"passed","Tue Nov 08 03:27:35 GMT 2022","Tue Nov 08 03:27:36 GMT 2022","599","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Labels Usage basic test",""
