"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 16 04:27:40 GMT 2022","Wed Nov 16 04:27:40 GMT 2022","280","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Id Usage basic test",""
"passed","Wed Nov 16 04:27:40 GMT 2022","Wed Nov 16 04:27:40 GMT 2022","283","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"passed","Wed Nov 16 04:27:38 GMT 2022","Wed Nov 16 04:27:38 GMT 2022","12","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Default with process",""
"passed","Wed Nov 16 04:27:41 GMT 2022","Wed Nov 16 04:27:41 GMT 2022","266","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"passed","Wed Nov 16 04:27:38 GMT 2022","Wed Nov 16 04:27:38 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default",""
"passed","Wed Nov 16 04:27:41 GMT 2022","Wed Nov 16 04:27:41 GMT 2022","106","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","api test",""
"passed","Wed Nov 16 04:27:39 GMT 2022","Wed Nov 16 04:27:40 GMT 2022","278","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Links Usage basic test",""
"skipped","Wed Nov 16 04:27:58 GMT 2022","Wed Nov 16 04:27:58 GMT 2022","0","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","second screenshot",""
"passed","Wed Nov 16 04:27:41 GMT 2022","Wed Nov 16 04:27:42 GMT 2022","777","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","intercept me",""
"passed","Wed Nov 16 04:28:07 GMT 2022","Wed Nov 16 04:28:10 GMT 2022","2861","e2e firefox","src/tests/e2e/order.spec.ts","Tests for Swag","","","test order from the inventory and check out",""
"passed","Wed Nov 16 04:27:39 GMT 2022","Wed Nov 16 04:27:39 GMT 2022","558","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Labels Usage basic test",""
"passed","Wed Nov 16 04:27:38 GMT 2022","Wed Nov 16 04:27:38 GMT 2022","9","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with environment and override",""
"passed","Wed Nov 16 04:27:40 GMT 2022","Wed Nov 16 04:27:41 GMT 2022","194","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"passed","Wed Nov 16 04:27:42 GMT 2022","Wed Nov 16 04:27:58 GMT 2022","16085","functional","src/tests/functional/lighthouse.spec.ts","Sample audit example","","","open browser",""
"passed","Wed Nov 16 04:28:03 GMT 2022","Wed Nov 16 04:28:07 GMT 2022","3279","e2e firefox","src/tests/e2e/login-logout.spec.ts","Tests for Swag","","","test logging in and out with standard user",""
"passed","Wed Nov 16 04:27:41 GMT 2022","Wed Nov 16 04:27:41 GMT 2022","348","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Steps usage basic test",""
"passed","Wed Nov 16 04:28:15 GMT 2022","Wed Nov 16 04:28:19 GMT 2022","3920","e2e webkit","src/tests/e2e/order.spec.ts","Tests for Swag","","","test order from the inventory and check out",""
"skipped","Wed Nov 16 04:28:03 GMT 2022","Wed Nov 16 04:28:03 GMT 2022","140","e2e","src/tests/e2e/order.spec.ts","Tests for Swag","","","test order from the inventory and check out with visual",""
"passed","Wed Nov 16 04:27:41 GMT 2022","Wed Nov 16 04:27:41 GMT 2022","39","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","passing context api test",""
"skipped","Wed Nov 16 04:27:58 GMT 2022","Wed Nov 16 04:27:58 GMT 2022","0","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","My first screenshot",""
"passed","Wed Nov 16 04:27:38 GMT 2022","Wed Nov 16 04:27:38 GMT 2022","4","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check NODE ENV",""
"passed","Wed Nov 16 04:28:01 GMT 2022","Wed Nov 16 04:28:03 GMT 2022","2078","e2e","src/tests/e2e/order.spec.ts","Tests for Swag","","","test order from the inventory and check out",""
"passed","Wed Nov 16 04:27:38 GMT 2022","Wed Nov 16 04:27:38 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with override",""
"passed","Wed Nov 16 04:27:59 GMT 2022","Wed Nov 16 04:28:01 GMT 2022","1758","e2e","src/tests/e2e/login-logout.spec.ts","Tests for Swag","","","test logging in and out with standard user",""
"passed","Wed Nov 16 04:28:11 GMT 2022","Wed Nov 16 04:28:15 GMT 2022","3765","e2e webkit","src/tests/e2e/login-logout.spec.ts","Tests for Swag","","","test logging in and out with standard user",""
"passed","Wed Nov 16 04:27:38 GMT 2022","Wed Nov 16 04:27:38 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check CI",""
"passed","Wed Nov 16 04:27:38 GMT 2022","Wed Nov 16 04:27:38 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with environment",""
"skipped","Wed Nov 16 04:27:58 GMT 2022","Wed Nov 16 04:27:58 GMT 2022","0","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","third screenshot",""
"passed","Wed Nov 16 04:27:38 GMT 2022","Wed Nov 16 04:27:38 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check local with process",""
"passed","Wed Nov 16 04:27:40 GMT 2022","Wed Nov 16 04:27:40 GMT 2022","284","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Epics Usage basic test",""
"skipped","Wed Nov 16 04:28:19 GMT 2022","Wed Nov 16 04:28:19 GMT 2022","304","e2e webkit","src/tests/e2e/order.spec.ts","Tests for Swag","","","test order from the inventory and check out with visual",""
"skipped","Wed Nov 16 04:28:10 GMT 2022","Wed Nov 16 04:28:10 GMT 2022","266","e2e firefox","src/tests/e2e/order.spec.ts","Tests for Swag","","","test order from the inventory and check out with visual",""
