"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 22:54:01 GMT 2024","Fri May 31 22:54:02 GMT 2024","952","functional","","Unit Tests for Playwright API Testing","","","intercept me",""
"passed","Fri May 31 22:53:59 GMT 2024","Fri May 31 22:54:00 GMT 2024","297","functional","","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"passed","Fri May 31 22:54:00 GMT 2024","Fri May 31 22:54:00 GMT 2024","367","functional","","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"passed","Fri May 31 22:53:58 GMT 2024","Fri May 31 22:53:59 GMT 2024","280","functional","","Unit Tests for Allure Reports","","","Links Usage basic test",""
"passed","Fri May 31 22:54:07 GMT 2024","Fri May 31 22:54:09 GMT 2024","2084","functional","","Codegen Process to POM @codegen","","","Codegen Final Phase add Workflow",""
"skipped","Fri May 31 22:54:17 GMT 2024","Fri May 31 22:54:17 GMT 2024","0","webkit","","Tests for Swag","","","Order from the inventory and check out",""
"skipped","Fri May 31 22:54:17 GMT 2024","Fri May 31 22:54:17 GMT 2024","0","firefox","","Tests for Swag","","","Logging in and out with standard user",""
"skipped","Fri May 31 22:54:17 GMT 2024","Fri May 31 22:54:17 GMT 2024","0","webkit","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"failed","Fri May 31 22:54:15 GMT 2024","Fri May 31 22:54:17 GMT 2024","1612","functional","","Tests for Visual Regression @visual","","","third screenshot",""
"passed","Fri May 31 22:54:09 GMT 2024","Fri May 31 22:54:10 GMT 2024","543","functional","","Codegen Process to POM @codegen","","","Codegen Start New",""
"passed","Fri May 31 22:53:57 GMT 2024","Fri May 31 22:53:57 GMT 2024","10","unit","","Environment Configuration","","","Check Setup Environment Default",""
"passed","Fri May 31 22:54:04 GMT 2024","Fri May 31 22:54:06 GMT 2024","1798","functional","","Codegen Process to POM @codegen","","","Codegen Phase 1 clean up",""
"passed","Fri May 31 22:54:01 GMT 2024","Fri May 31 22:54:01 GMT 2024","138","functional","","Unit Tests for Playwright API Testing","","","api test",""
"passed","Fri May 31 22:54:00 GMT 2024","Fri May 31 22:54:00 GMT 2024","265","functional","","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"skipped","Fri May 31 22:54:17 GMT 2024","Fri May 31 22:54:17 GMT 2024","0","firefox","","Tests for Swag","","","Order from the inventory and check out",""
"passed","Fri May 31 22:53:58 GMT 2024","Fri May 31 22:53:58 GMT 2024","590","functional","","Unit Tests for Allure Reports","","","Labels Usage basic test",""
"passed","Fri May 31 22:53:57 GMT 2024","Fri May 31 22:53:57 GMT 2024","8","unit","","Environment Configuration","","","Check CI",""
"skipped","Fri May 31 22:54:10 GMT 2024","Fri May 31 22:54:10 GMT 2024","0","functional","","Lighthouse Sample Audit @lighthouse","","","Sauce Demo landing page",""
"skipped","Fri May 31 22:54:17 GMT 2024","Fri May 31 22:54:17 GMT 2024","0","firefox","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"passed","Fri May 31 22:54:06 GMT 2024","Fri May 31 22:54:07 GMT 2024","1810","functional","","Codegen Process to POM @codegen","","","Codegen Phase 2 add POM",""
"skipped","Fri May 31 22:54:17 GMT 2024","Fri May 31 22:54:17 GMT 2024","1","chromium","","Tests for Swag","","","Logging in and out with standard user",""
"passed","Fri May 31 22:54:01 GMT 2024","Fri May 31 22:54:01 GMT 2024","79","functional","","Unit Tests for Playwright API Testing","","","passing context api test",""
"passed","Fri May 31 22:53:59 GMT 2024","Fri May 31 22:53:59 GMT 2024","282","functional","","Unit Tests for Allure Reports","","","Id Usage basic test",""
"passed","Fri May 31 22:54:02 GMT 2024","Fri May 31 22:54:04 GMT 2024","1996","functional","","Codegen Process to POM @codegen","","","Codegen raw capture of ordering",""
