"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 01 00:30:35 GMT 2024","Sat Jun 01 00:30:35 GMT 2024","642","functional","","Tests for Visual Regression @visual","","","third screenshot",""
"passed","Sat Jun 01 00:30:43 GMT 2024","Sat Jun 01 00:30:46 GMT 2024","3216","firefox","","Tests for Swag","","","Logging in and out with standard user",""
"passed","Sat Jun 01 00:30:20 GMT 2024","Sat Jun 01 00:30:20 GMT 2024","5","unit","","Environment Configuration","","","Check NODE ENV",""
"passed","Sat Jun 01 00:30:20 GMT 2024","Sat Jun 01 00:30:20 GMT 2024","29","unit","","Environment Configuration","","","Check Default with process",""
"skipped","Sat Jun 01 00:30:33 GMT 2024","Sat Jun 01 00:30:33 GMT 2024","0","functional","","Lighthouse Sample Audit @lighthouse","","","Angular landing page",""
"passed","Sat Jun 01 00:30:53 GMT 2024","Sat Jun 01 00:31:00 GMT 2024","6401","webkit","","Tests for Swag","","","Logging in and out with standard user",""
"passed","Sat Jun 01 00:30:20 GMT 2024","Sat Jun 01 00:30:20 GMT 2024","8","unit","","Environment Configuration","","","Check Setup Environment Default",""
"passed","Sat Jun 01 00:30:21 GMT 2024","Sat Jun 01 00:30:22 GMT 2024","281","functional","","Unit Tests for Allure Reports","","","Id Usage basic test",""
"passed","Sat Jun 01 00:30:33 GMT 2024","Sat Jun 01 00:30:34 GMT 2024","514","functional","","Tests for Visual Regression @visual","","","My first screenshot",""
"passed","Sat Jun 01 00:30:20 GMT 2024","Sat Jun 01 00:30:20 GMT 2024","10","unit","","Environment Configuration","","","Check Setup Environment Default with environment",""
"passed","Sat Jun 01 00:30:22 GMT 2024","Sat Jun 01 00:30:22 GMT 2024","285","functional","","Unit Tests for Allure Reports","","","Epics Usage basic test",""
"passed","Sat Jun 01 00:30:22 GMT 2024","Sat Jun 01 00:30:22 GMT 2024","297","functional","","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"passed","Sat Jun 01 00:30:20 GMT 2024","Sat Jun 01 00:30:21 GMT 2024","626","functional","","Unit Tests for Allure Reports","","","Labels Usage basic test",""
"passed","Sat Jun 01 00:30:30 GMT 2024","Sat Jun 01 00:30:33 GMT 2024","2104","functional","","Codegen Process to POM @codegen","","","Codegen Final Phase add Workflow",""
"passed","Sat Jun 01 00:30:23 GMT 2024","Sat Jun 01 00:30:24 GMT 2024","100","functional","","Unit Tests for Playwright API Testing","","","passing context api test",""
"failed","Sat Jun 01 00:30:49 GMT 2024","Sat Jun 01 00:30:53 GMT 2024","3757","firefox","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"passed","Sat Jun 01 00:30:23 GMT 2024","Sat Jun 01 00:30:23 GMT 2024","299","functional","","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"passed","Sat Jun 01 00:30:25 GMT 2024","Sat Jun 01 00:30:27 GMT 2024","2088","functional","","Codegen Process to POM @codegen","","","Codegen raw capture of ordering",""
"passed","Sat Jun 01 00:30:22 GMT 2024","Sat Jun 01 00:30:23 GMT 2024","382","functional","","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"skipped","Sat Jun 01 00:30:33 GMT 2024","Sat Jun 01 00:30:33 GMT 2024","1","functional","","Lighthouse Sample Audit @lighthouse","","","Sauce Demo landing page",""
"passed","Sat Jun 01 00:30:21 GMT 2024","Sat Jun 01 00:30:21 GMT 2024","312","functional","","Unit Tests for Allure Reports","","","Links Usage basic test",""
"failed","Sat Jun 01 00:31:03 GMT 2024","Sat Jun 01 00:31:06 GMT 2024","3458","webkit","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"passed","Sat Jun 01 00:31:00 GMT 2024","Sat Jun 01 00:31:03 GMT 2024","2734","webkit","","Tests for Swag","","","Order from the inventory and check out",""
"passed","Sat Jun 01 00:30:20 GMT 2024","Sat Jun 01 00:30:20 GMT 2024","9","unit","","Environment Configuration","","","Check Setup Environment Default with environment and override",""
"passed","Sat Jun 01 00:30:38 GMT 2024","Sat Jun 01 00:30:40 GMT 2024","2125","chromium","","Tests for Swag","","","Order from the inventory and check out",""
"passed","Sat Jun 01 00:30:20 GMT 2024","Sat Jun 01 00:30:20 GMT 2024","7","unit","","Environment Configuration","","","Check local with process",""
"passed","Sat Jun 01 00:30:23 GMT 2024","Sat Jun 01 00:30:23 GMT 2024","211","functional","","Unit Tests for Playwright API Testing","","","api test",""
"failed","Sat Jun 01 00:30:40 GMT 2024","Sat Jun 01 00:30:43 GMT 2024","3054","chromium","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"passed","Sat Jun 01 00:30:33 GMT 2024","Sat Jun 01 00:30:33 GMT 2024","555","functional","","Codegen Process to POM @codegen","","","Codegen Start New",""
"passed","Sat Jun 01 00:30:20 GMT 2024","Sat Jun 01 00:30:20 GMT 2024","10","unit","","Environment Configuration","","","Check CI",""
"passed","Sat Jun 01 00:30:20 GMT 2024","Sat Jun 01 00:30:20 GMT 2024","8","unit","","Environment Configuration","","","Check Setup Environment Default with override",""
"passed","Sat Jun 01 00:30:24 GMT 2024","Sat Jun 01 00:30:25 GMT 2024","1009","functional","","Unit Tests for Playwright API Testing","","","intercept me",""
"passed","Sat Jun 01 00:30:47 GMT 2024","Sat Jun 01 00:30:49 GMT 2024","2774","firefox","","Tests for Swag","","","Order from the inventory and check out",""
"passed","Sat Jun 01 00:30:23 GMT 2024","Sat Jun 01 00:30:23 GMT 2024","366","functional","","Unit Tests for Allure Reports","","","Steps usage basic test",""
"passed","Sat Jun 01 00:30:29 GMT 2024","Sat Jun 01 00:30:30 GMT 2024","1843","functional","","Codegen Process to POM @codegen","","","Codegen Phase 2 add POM",""
"passed","Sat Jun 01 00:30:34 GMT 2024","Sat Jun 01 00:30:35 GMT 2024","939","functional","","Tests for Visual Regression @visual","","","second screenshot",""
"passed","Sat Jun 01 00:30:36 GMT 2024","Sat Jun 01 00:30:38 GMT 2024","1893","chromium","","Tests for Swag","","","Logging in and out with standard user",""
"passed","Sat Jun 01 00:30:27 GMT 2024","Sat Jun 01 00:30:29 GMT 2024","1858","functional","","Codegen Process to POM @codegen","","","Codegen Phase 1 clean up",""
