"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 11 03:56:26 GMT 2022","Fri Nov 11 03:56:27 GMT 2022","1541","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","second screenshot",""
"passed","Fri Nov 11 03:55:58 GMT 2022","Fri Nov 11 03:55:58 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default",""
"passed","Fri Nov 11 03:56:01 GMT 2022","Fri Nov 11 03:56:01 GMT 2022","309","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"passed","Fri Nov 11 03:56:03 GMT 2022","Fri Nov 11 03:56:21 GMT 2022","18601","functional","src/tests/functional/lighthouse.spec.ts","Sample audit example","","","open browser",""
"failed","Fri Nov 11 03:56:29 GMT 2022","Fri Nov 11 03:56:30 GMT 2022","1097","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","third screenshot",""
"passed","Fri Nov 11 03:55:58 GMT 2022","Fri Nov 11 03:55:58 GMT 2022","12","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Default with process",""
"passed","Fri Nov 11 03:55:58 GMT 2022","Fri Nov 11 03:55:58 GMT 2022","0","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with environment",""
"passed","Fri Nov 11 03:55:58 GMT 2022","Fri Nov 11 03:55:58 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check NODE ENV",""
"passed","Fri Nov 11 03:55:59 GMT 2022","Fri Nov 11 03:55:59 GMT 2022","577","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Labels Usage basic test",""
"passed","Fri Nov 11 03:56:02 GMT 2022","Fri Nov 11 03:56:02 GMT 2022","55","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","passing context api test",""
"passed","Fri Nov 11 03:56:00 GMT 2022","Fri Nov 11 03:56:00 GMT 2022","299","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Epics Usage basic test",""
"passed","Fri Nov 11 03:56:01 GMT 2022","Fri Nov 11 03:56:01 GMT 2022","361","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Steps usage basic test",""
"passed","Fri Nov 11 03:56:02 GMT 2022","Fri Nov 11 03:56:02 GMT 2022","801","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","intercept me",""
"passed","Fri Nov 11 03:56:00 GMT 2022","Fri Nov 11 03:56:00 GMT 2022","277","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Id Usage basic test",""
"passed","Fri Nov 11 03:55:59 GMT 2022","Fri Nov 11 03:56:00 GMT 2022","311","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Links Usage basic test",""
"passed","Fri Nov 11 03:55:58 GMT 2022","Fri Nov 11 03:55:58 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with override",""
"passed","Fri Nov 11 03:55:58 GMT 2022","Fri Nov 11 03:55:58 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check local with process",""
"passed","Fri Nov 11 03:55:58 GMT 2022","Fri Nov 11 03:55:58 GMT 2022","8","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with environment and override",""
"failed","Fri Nov 11 03:56:22 GMT 2022","Fri Nov 11 03:56:23 GMT 2022","1050","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","My first screenshot",""
"passed","Fri Nov 11 03:55:58 GMT 2022","Fri Nov 11 03:55:58 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check CI",""
"passed","Fri Nov 11 03:56:01 GMT 2022","Fri Nov 11 03:56:02 GMT 2022","130","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","api test",""
"passed","Fri Nov 11 03:56:01 GMT 2022","Fri Nov 11 03:56:01 GMT 2022","194","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"passed","Fri Nov 11 03:56:00 GMT 2022","Fri Nov 11 03:56:01 GMT 2022","280","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Stories Usage basic test",""
