"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 07 22:44:35 GMT 2022","Mon Nov 07 22:44:36 GMT 2022","241","chromium","example.spec.ts","Unit Tests for Playwright","","","api test",""
"passed","Mon Nov 07 22:44:36 GMT 2022","Mon Nov 07 22:44:36 GMT 2022","144","chromium","example.spec.ts","Unit Tests for Playwright","","","passing context api test",""
"failed","Mon Nov 07 22:44:40 GMT 2022","Mon Nov 07 22:44:41 GMT 2022","684","chromium","screenshot.spec.ts","Screenshots","","","My first screenshot",""
"failed","Mon Nov 07 22:44:45 GMT 2022","Mon Nov 07 22:44:47 GMT 2022","1777","chromium","screenshot.spec.ts","Screenshots","","","second screenshot",""
"passed","Mon Nov 07 22:44:36 GMT 2022","Mon Nov 07 22:44:37 GMT 2022","1312","chromium","example.spec.ts","Unit Tests for Playwright","","","intercept me",""
