"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 03:29:18 GMT 2022","Tue Nov 08 03:29:19 GMT 2022","911","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Labels Usage basic test",""
"passed","Tue Nov 08 03:29:21 GMT 2022","Tue Nov 08 03:29:22 GMT 2022","1142","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Steps usage basic test",""
"passed","Tue Nov 08 03:29:20 GMT 2022","Tue Nov 08 03:29:20 GMT 2022","408","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Epics Usage basic test",""
"passed","Tue Nov 08 03:29:20 GMT 2022","Tue Nov 08 03:29:21 GMT 2022","227","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"passed","Tue Nov 08 03:29:21 GMT 2022","Tue Nov 08 03:29:21 GMT 2022","410","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Steps usage Attachments Usage basic test",""
"passed","Tue Nov 08 03:29:20 GMT 2022","Tue Nov 08 03:29:20 GMT 2022","387","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"skipped","Tue Nov 08 03:29:24 GMT 2022","Tue Nov 08 03:29:24 GMT 2022","1","chromium","screenshot.spec.ts","Screenshots","","","My first screenshot",""
"passed","Tue Nov 08 03:29:22 GMT 2022","Tue Nov 08 03:29:23 GMT 2022","397","chromium","example.spec.ts","Unit Tests for Playwright","","","api test",""
"passed","Tue Nov 08 03:29:23 GMT 2022","Tue Nov 08 03:29:24 GMT 2022","1054","chromium","example.spec.ts","Unit Tests for Playwright","","","intercept me",""
"passed","Tue Nov 08 03:29:23 GMT 2022","Tue Nov 08 03:29:23 GMT 2022","460","chromium","example.spec.ts","Unit Tests for Playwright","","","passing context api test",""
"passed","Tue Nov 08 03:29:19 GMT 2022","Tue Nov 08 03:29:19 GMT 2022","392","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Links Usage basic test",""
"passed","Tue Nov 08 03:29:19 GMT 2022","Tue Nov 08 03:29:20 GMT 2022","401","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Id Usage basic test",""
"skipped","Tue Nov 08 03:29:24 GMT 2022","Tue Nov 08 03:29:24 GMT 2022","0","chromium","screenshot.spec.ts","Screenshots","","","second screenshot",""
