"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 11 03:58:13 GMT 2022","Fri Nov 11 03:58:14 GMT 2022","356","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","api test",""
"passed","Fri Nov 11 03:58:09 GMT 2022","Fri Nov 11 03:58:09 GMT 2022","6","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with environment and override",""
"passed","Fri Nov 11 03:58:09 GMT 2022","Fri Nov 11 03:58:09 GMT 2022","4","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check local with process",""
"passed","Fri Nov 11 03:58:09 GMT 2022","Fri Nov 11 03:58:09 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check NODE ENV",""
"passed","Fri Nov 11 03:58:12 GMT 2022","Fri Nov 11 03:58:12 GMT 2022","195","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"passed","Fri Nov 11 03:58:09 GMT 2022","Fri Nov 11 03:58:09 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check CI",""
"passed","Fri Nov 11 03:58:14 GMT 2022","Fri Nov 11 03:58:15 GMT 2022","1060","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","intercept me",""
"passed","Fri Nov 11 03:58:12 GMT 2022","Fri Nov 11 03:58:12 GMT 2022","365","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"failed","Fri Nov 11 03:58:33 GMT 2022","Fri Nov 11 03:58:35 GMT 2022","1207","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","My first screenshot",""
"passed","Fri Nov 11 03:58:13 GMT 2022","Fri Nov 11 03:58:13 GMT 2022","485","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Steps usage basic test",""
"passed","Fri Nov 11 03:58:09 GMT 2022","Fri Nov 11 03:58:09 GMT 2022","12","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Default with process",""
"passed","Fri Nov 11 03:58:09 GMT 2022","Fri Nov 11 03:58:09 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with override",""
"passed","Fri Nov 11 03:58:09 GMT 2022","Fri Nov 11 03:58:09 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default",""
"passed","Fri Nov 11 03:58:15 GMT 2022","Fri Nov 11 03:58:32 GMT 2022","17047","functional","src/tests/functional/lighthouse.spec.ts","Sample audit example","","","open browser",""
"passed","Fri Nov 11 03:58:11 GMT 2022","Fri Nov 11 03:58:12 GMT 2022","384","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Epics Usage basic test",""
"passed","Fri Nov 11 03:58:10 GMT 2022","Fri Nov 11 03:58:11 GMT 2022","907","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Labels Usage basic test",""
"passed","Fri Nov 11 03:58:11 GMT 2022","Fri Nov 11 03:58:11 GMT 2022","394","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Links Usage basic test",""
"passed","Fri Nov 11 03:58:45 GMT 2022","Fri Nov 11 03:58:48 GMT 2022","3005","e2e firefox","src/tests/e2e/login-logout.spec.ts","Tests for Swag","","","test logging in and out with standard user",""
"passed","Fri Nov 11 03:58:09 GMT 2022","Fri Nov 11 03:58:09 GMT 2022","1","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with environment",""
"passed","Fri Nov 11 03:58:12 GMT 2022","Fri Nov 11 03:58:13 GMT 2022","367","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"passed","Fri Nov 11 03:58:11 GMT 2022","Fri Nov 11 03:58:11 GMT 2022","378","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Id Usage basic test",""
"failed","Fri Nov 11 03:58:37 GMT 2022","Fri Nov 11 03:58:39 GMT 2022","1640","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","second screenshot",""
"failed","Fri Nov 11 03:58:41 GMT 2022","Fri Nov 11 03:58:42 GMT 2022","1192","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","third screenshot",""
"passed","Fri Nov 11 03:59:21 GMT 2022","Fri Nov 11 03:59:25 GMT 2022","3916","e2e webkit","src/tests/e2e/login-logout.spec.ts","Tests for Swag","","","test logging in and out with standard user",""
"passed","Fri Nov 11 03:58:42 GMT 2022","Fri Nov 11 03:58:44 GMT 2022","1676","e2e","src/tests/e2e/login-logout.spec.ts","Tests for Swag","","","test logging in and out with standard user",""
"passed","Fri Nov 11 03:58:14 GMT 2022","Fri Nov 11 03:58:14 GMT 2022","137","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","passing context api test",""
