"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 07 22:15:53 GMT 2022","Mon Nov 07 22:15:54 GMT 2022","1082","chromium","example.spec.ts","Unit Tests for Playwright","","","intercept me",""
"failed","Mon Nov 07 22:16:02 GMT 2022","Mon Nov 07 22:16:04 GMT 2022","1621","chromium","screenshot.spec.ts","Screenshots","","","second screenshot",""
"passed","Mon Nov 07 22:15:53 GMT 2022","Mon Nov 07 22:15:53 GMT 2022","56","chromium","example.spec.ts","Unit Tests for Playwright","","","passing context api test",""
"failed","Mon Nov 07 22:15:57 GMT 2022","Mon Nov 07 22:15:57 GMT 2022","661","chromium","screenshot.spec.ts","Screenshots","","","My first screenshot",""
"passed","Mon Nov 07 22:15:52 GMT 2022","Mon Nov 07 22:15:53 GMT 2022","786","chromium","example.spec.ts","Unit Tests for Playwright","","","api test",""
