"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri May 31 23:50:39 GMT 2024","Fri May 31 23:50:39 GMT 2024","0","webkit","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"skipped","Fri May 31 23:50:32 GMT 2024","Fri May 31 23:50:32 GMT 2024","0","functional","","Lighthouse Sample Audit @lighthouse","","","Sauce Demo landing page",""
"skipped","Fri May 31 23:50:39 GMT 2024","Fri May 31 23:50:39 GMT 2024","0","chromium","","Tests for Swag","","","Order from the inventory and check out",""
"skipped","Fri May 31 23:50:39 GMT 2024","Fri May 31 23:50:39 GMT 2024","1","chromium","","Tests for Swag","","","Logging in and out with standard user",""
"passed","Fri May 31 23:50:22 GMT 2024","Fri May 31 23:50:22 GMT 2024","367","functional","","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"passed","Fri May 31 23:50:32 GMT 2024","Fri May 31 23:50:32 GMT 2024","539","functional","","Codegen Process to POM @codegen","","","Codegen Start New",""
"passed","Fri May 31 23:50:19 GMT 2024","Fri May 31 23:50:19 GMT 2024","8","unit","","Environment Configuration","","","Check CI",""
"skipped","Fri May 31 23:50:39 GMT 2024","Fri May 31 23:50:39 GMT 2024","0","webkit","","Tests for Swag","","","Order from the inventory and check out",""
"failed","Fri May 31 23:50:34 GMT 2024","Fri May 31 23:50:35 GMT 2024","860","functional","","Tests for Visual Regression @visual","","","My first screenshot",""
"passed","Fri May 31 23:50:19 GMT 2024","Fri May 31 23:50:19 GMT 2024","10","unit","","Environment Configuration","","","Check local with process",""
"passed","Fri May 31 23:50:22 GMT 2024","Fri May 31 23:50:23 GMT 2024","365","functional","","Unit Tests for Allure Reports","","","Steps usage basic test",""
"passed","Fri May 31 23:50:23 GMT 2024","Fri May 31 23:50:23 GMT 2024","356","functional","","Unit Tests for Playwright API Testing","","","api test",""
"passed","Fri May 31 23:50:30 GMT 2024","Fri May 31 23:50:32 GMT 2024","2102","functional","","Codegen Process to POM @codegen","","","Codegen Final Phase add Workflow",""
"failed","Fri May 31 23:50:37 GMT 2024","Fri May 31 23:50:38 GMT 2024","839","functional","","Tests for Visual Regression @visual","","","second screenshot",""
"passed","Fri May 31 23:50:20 GMT 2024","Fri May 31 23:50:20 GMT 2024","812","functional","","Unit Tests for Allure Reports","","","Labels Usage basic test",""
"passed","Fri May 31 23:50:21 GMT 2024","Fri May 31 23:50:21 GMT 2024","264","functional","","Unit Tests for Allure Reports","","","Epics Usage basic test",""
"passed","Fri May 31 23:50:22 GMT 2024","Fri May 31 23:50:22 GMT 2024","283","functional","","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"passed","Fri May 31 23:50:26 GMT 2024","Fri May 31 23:50:28 GMT 2024","1846","functional","","Codegen Process to POM @codegen","","","Codegen Phase 1 clean up",""
"skipped","Fri May 31 23:50:39 GMT 2024","Fri May 31 23:50:39 GMT 2024","0","firefox","","Tests for Swag","","","Order from the inventory and check out",""
"passed","Fri May 31 23:50:21 GMT 2024","Fri May 31 23:50:21 GMT 2024","266","functional","","Unit Tests for Allure Reports","","","Id Usage basic test",""
"passed","Fri May 31 23:50:23 GMT 2024","Fri May 31 23:50:23 GMT 2024","127","functional","","Unit Tests for Playwright API Testing","","","passing context api test",""
"passed","Fri May 31 23:50:19 GMT 2024","Fri May 31 23:50:19 GMT 2024","6","unit","","Environment Configuration","","","Check NODE ENV",""
"skipped","Fri May 31 23:50:39 GMT 2024","Fri May 31 23:50:39 GMT 2024","1","firefox","","Tests for Swag","","","Logging in and out with standard user",""
