"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 01 00:47:48 GMT 2024","Sat Jun 01 00:47:48 GMT 2024","126","functional","","Unit Tests for Playwright API Testing","","","api test",""
"failed","Sat Jun 01 00:48:03 GMT 2024","Sat Jun 01 00:48:06 GMT 2024","2920","chromium","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"passed","Sat Jun 01 00:47:48 GMT 2024","Sat Jun 01 00:47:49 GMT 2024","942","functional","","Unit Tests for Playwright API Testing","","","intercept me",""
"passed","Sat Jun 01 00:47:46 GMT 2024","Sat Jun 01 00:47:46 GMT 2024","263","functional","","Unit Tests for Allure Reports","","","Links Usage basic test",""
"passed","Sat Jun 01 00:47:57 GMT 2024","Sat Jun 01 00:47:58 GMT 2024","905","functional","","Tests for Visual Regression @visual","","","second screenshot",""
"passed","Sat Jun 01 00:47:54 GMT 2024","Sat Jun 01 00:47:56 GMT 2024","2009","functional","","Codegen Process to POM @codegen","","","Codegen Final Phase add Workflow",""
"passed","Sat Jun 01 00:47:46 GMT 2024","Sat Jun 01 00:47:46 GMT 2024","281","functional","","Unit Tests for Allure Reports","","","Id Usage basic test",""
"passed","Sat Jun 01 00:47:58 GMT 2024","Sat Jun 01 00:47:59 GMT 2024","576","functional","","Tests for Visual Regression @visual","","","third screenshot",""
"passed","Sat Jun 01 00:47:45 GMT 2024","Sat Jun 01 00:47:45 GMT 2024","8","unit","","Environment Configuration","","","Check CI",""
"passed","Sat Jun 01 00:47:59 GMT 2024","Sat Jun 01 00:48:01 GMT 2024","1873","chromium","","Tests for Swag","","","Logging in and out with standard user",""
"passed","Sat Jun 01 00:48:10 GMT 2024","Sat Jun 01 00:48:13 GMT 2024","2724","firefox","","Tests for Swag","","","Order from the inventory and check out",""
"failed","Sat Jun 01 00:48:30 GMT 2024","Sat Jun 01 00:48:33 GMT 2024","3374","webkit","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"passed","Sat Jun 01 00:47:45 GMT 2024","Sat Jun 01 00:47:45 GMT 2024","10","unit","","Environment Configuration","","","Check Setup Environment Default with environment",""
"passed","Sat Jun 01 00:47:45 GMT 2024","Sat Jun 01 00:47:46 GMT 2024","535","functional","","Unit Tests for Allure Reports","","","Labels Usage basic test",""
"passed","Sat Jun 01 00:47:45 GMT 2024","Sat Jun 01 00:47:45 GMT 2024","6","unit","","Environment Configuration","","","Check NODE ENV",""
"passed","Sat Jun 01 00:47:46 GMT 2024","Sat Jun 01 00:47:47 GMT 2024","249","functional","","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"passed","Sat Jun 01 00:47:47 GMT 2024","Sat Jun 01 00:47:48 GMT 2024","348","functional","","Unit Tests for Allure Reports","","","Steps usage basic test",""
"skipped","Sat Jun 01 00:47:57 GMT 2024","Sat Jun 01 00:47:57 GMT 2024","0","functional","","Lighthouse Sample Audit @lighthouse","","","Sauce Demo landing page",""
"passed","Sat Jun 01 00:47:45 GMT 2024","Sat Jun 01 00:47:45 GMT 2024","9","unit","","Environment Configuration","","","Check Setup Environment Default",""
"passed","Sat Jun 01 00:47:46 GMT 2024","Sat Jun 01 00:47:46 GMT 2024","282","functional","","Unit Tests for Allure Reports","","","Epics Usage basic test",""
"passed","Sat Jun 01 00:48:27 GMT 2024","Sat Jun 01 00:48:30 GMT 2024","2630","webkit","","Tests for Swag","","","Order from the inventory and check out",""
"passed","Sat Jun 01 00:47:45 GMT 2024","Sat Jun 01 00:47:45 GMT 2024","31","unit","","Environment Configuration","","","Check Default with process",""
"passed","Sat Jun 01 00:47:45 GMT 2024","Sat Jun 01 00:47:45 GMT 2024","7","unit","","Environment Configuration","","","Check local with process",""
"passed","Sat Jun 01 00:47:49 GMT 2024","Sat Jun 01 00:47:51 GMT 2024","1941","functional","","Codegen Process to POM @codegen","","","Codegen raw capture of ordering",""
"passed","Sat Jun 01 00:47:45 GMT 2024","Sat Jun 01 00:47:45 GMT 2024","9","unit","","Environment Configuration","","","Check Setup Environment Default with environment and override",""
"passed","Sat Jun 01 00:47:51 GMT 2024","Sat Jun 01 00:47:53 GMT 2024","1783","functional","","Codegen Process to POM @codegen","","","Codegen Phase 1 clean up",""
"passed","Sat Jun 01 00:47:53 GMT 2024","Sat Jun 01 00:47:54 GMT 2024","1778","functional","","Codegen Process to POM @codegen","","","Codegen Phase 2 add POM",""
"skipped","Sat Jun 01 00:47:57 GMT 2024","Sat Jun 01 00:47:57 GMT 2024","1","functional","","Lighthouse Sample Audit @lighthouse","","","Angular landing page",""
"passed","Sat Jun 01 00:47:48 GMT 2024","Sat Jun 01 00:47:48 GMT 2024","123","functional","","Unit Tests for Playwright API Testing","","","passing context api test",""
"passed","Sat Jun 01 00:48:07 GMT 2024","Sat Jun 01 00:48:10 GMT 2024","3649","firefox","","Tests for Swag","","","Logging in and out with standard user",""
"passed","Sat Jun 01 00:47:47 GMT 2024","Sat Jun 01 00:47:47 GMT 2024","249","functional","","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"passed","Sat Jun 01 00:47:56 GMT 2024","Sat Jun 01 00:47:57 GMT 2024","498","functional","","Codegen Process to POM @codegen","","","Codegen Start New",""
"failed","Sat Jun 01 00:48:13 GMT 2024","Sat Jun 01 00:48:17 GMT 2024","3740","firefox","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"passed","Sat Jun 01 00:47:57 GMT 2024","Sat Jun 01 00:47:57 GMT 2024","465","functional","","Tests for Visual Regression @visual","","","My first screenshot",""
"passed","Sat Jun 01 00:48:17 GMT 2024","Sat Jun 01 00:48:27 GMT 2024","9959","webkit","","Tests for Swag","","","Logging in and out with standard user",""
"passed","Sat Jun 01 00:47:45 GMT 2024","Sat Jun 01 00:47:45 GMT 2024","7","unit","","Environment Configuration","","","Check Setup Environment Default with override",""
"passed","Sat Jun 01 00:47:47 GMT 2024","Sat Jun 01 00:47:47 GMT 2024","349","functional","","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"passed","Sat Jun 01 00:48:01 GMT 2024","Sat Jun 01 00:48:03 GMT 2024","2125","chromium","","Tests for Swag","","","Order from the inventory and check out",""
