"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri May 31 23:05:46 GMT 2024","Fri May 31 23:05:46 GMT 2024","0","webkit","","Tests for Swag","","","Order from the inventory and check out",""
"passed","Fri May 31 23:05:39 GMT 2024","Fri May 31 23:05:40 GMT 2024","540","functional","","Codegen Process to POM @codegen","","","Codegen Start New",""
"skipped","Fri May 31 23:05:46 GMT 2024","Fri May 31 23:05:46 GMT 2024","0","webkit","","Tests for Swag","","","Logging in and out with standard user",""
"skipped","Fri May 31 23:05:46 GMT 2024","Fri May 31 23:05:46 GMT 2024","0","chromium","","Tests for Swag","","","Logging in and out with standard user",""
"passed","Fri May 31 23:05:29 GMT 2024","Fri May 31 23:05:29 GMT 2024","264","functional","","Unit Tests for Allure Reports","","","Epics Usage basic test",""
"failed","Fri May 31 23:05:41 GMT 2024","Fri May 31 23:05:42 GMT 2024","822","functional","","Tests for Visual Regression @visual","","","My first screenshot",""
"passed","Fri May 31 23:05:27 GMT 2024","Fri May 31 23:05:27 GMT 2024","8","unit","","Environment Configuration","","","Check CI",""
"skipped","Fri May 31 23:05:40 GMT 2024","Fri May 31 23:05:40 GMT 2024","1","functional","","Lighthouse Sample Audit @lighthouse","","","Sauce Demo landing page",""
"skipped","Fri May 31 23:05:40 GMT 2024","Fri May 31 23:05:40 GMT 2024","0","functional","","Lighthouse Sample Audit @lighthouse","","","Angular landing page",""
"passed","Fri May 31 23:05:27 GMT 2024","Fri May 31 23:05:27 GMT 2024","27","unit","","Environment Configuration","","","Check Default with process",""
"passed","Fri May 31 23:05:30 GMT 2024","Fri May 31 23:05:30 GMT 2024","349","functional","","Unit Tests for Allure Reports","","","Steps usage basic test",""
"passed","Fri May 31 23:05:30 GMT 2024","Fri May 31 23:05:31 GMT 2024","277","functional","","Unit Tests for Playwright API Testing","","","passing context api test",""
"passed","Fri May 31 23:05:29 GMT 2024","Fri May 31 23:05:30 GMT 2024","300","functional","","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"passed","Fri May 31 23:05:27 GMT 2024","Fri May 31 23:05:27 GMT 2024","9","unit","","Environment Configuration","","","Check Setup Environment Default",""
"skipped","Fri May 31 23:05:46 GMT 2024","Fri May 31 23:05:46 GMT 2024","0","firefox","","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"passed","Fri May 31 23:05:27 GMT 2024","Fri May 31 23:05:27 GMT 2024","10","unit","","Environment Configuration","","","Check Setup Environment Default with environment and override",""
