"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 03:20:17 GMT 2022","Tue Nov 08 03:20:18 GMT 2022","1131","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Labels Usage basic test",""
"passed","Tue Nov 08 03:20:22 GMT 2022","Tue Nov 08 03:20:23 GMT 2022","249","chromium","example.spec.ts","Unit Tests for Playwright","","","passing context api test",""
"passed","Tue Nov 08 03:20:23 GMT 2022","Tue Nov 08 03:20:24 GMT 2022","964","chromium","example.spec.ts","Unit Tests for Playwright","","","intercept me",""
"passed","Tue Nov 08 03:20:20 GMT 2022","Tue Nov 08 03:20:20 GMT 2022","373","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Steps usage Attachments Usage basic test",""
"passed","Tue Nov 08 03:20:19 GMT 2022","Tue Nov 08 03:20:20 GMT 2022","370","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"passed","Tue Nov 08 03:20:20 GMT 2022","Tue Nov 08 03:20:22 GMT 2022","1203","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","basic test",""
"skipped","Tue Nov 08 03:20:24 GMT 2022","Tue Nov 08 03:20:24 GMT 2022","1","chromium","screenshot.spec.ts","Screenshots","","","My first screenshot",""
"passed","Tue Nov 08 03:20:22 GMT 2022","Tue Nov 08 03:20:22 GMT 2022","640","chromium","example.spec.ts","Unit Tests for Playwright","","","api test",""
"passed","Tue Nov 08 03:20:18 GMT 2022","Tue Nov 08 03:20:19 GMT 2022","418","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Links Usage basic test",""
"passed","Tue Nov 08 03:20:19 GMT 2022","Tue Nov 08 03:20:19 GMT 2022","381","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Id Usage basic test",""
"passed","Tue Nov 08 03:20:19 GMT 2022","Tue Nov 08 03:20:19 GMT 2022","388","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Epics Usage basic test",""
"skipped","Tue Nov 08 03:20:24 GMT 2022","Tue Nov 08 03:20:24 GMT 2022","0","chromium","screenshot.spec.ts","Screenshots","","","second screenshot",""
"passed","Tue Nov 08 03:20:20 GMT 2022","Tue Nov 08 03:20:20 GMT 2022","223","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
