"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 03:16:50 GMT 2022","Tue Nov 08 03:16:51 GMT 2022","129","chromium","example.spec.ts","Unit Tests for Playwright","","","api test",""
"passed","Tue Nov 08 03:16:51 GMT 2022","Tue Nov 08 03:16:51 GMT 2022","56","chromium","example.spec.ts","Unit Tests for Playwright","","","passing context api test",""
"passed","Tue Nov 08 03:16:51 GMT 2022","Tue Nov 08 03:16:51 GMT 2022","815","chromium","example.spec.ts","Unit Tests for Playwright","","","intercept me",""
"skipped","Tue Nov 08 03:16:51 GMT 2022","Tue Nov 08 03:16:51 GMT 2022","1","chromium","screenshot.spec.ts","Screenshots","","","My first screenshot",""
"passed","Tue Nov 08 03:16:50 GMT 2022","Tue Nov 08 03:16:50 GMT 2022","190","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"passed","Tue Nov 08 03:16:50 GMT 2022","Tue Nov 08 03:16:50 GMT 2022","362","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","basic test",""
"passed","Tue Nov 08 03:16:49 GMT 2022","Tue Nov 08 03:16:50 GMT 2022","317","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"skipped","Tue Nov 08 03:16:51 GMT 2022","Tue Nov 08 03:16:51 GMT 2022","0","chromium","screenshot.spec.ts","Screenshots","","","second screenshot",""
"passed","Tue Nov 08 03:16:48 GMT 2022","Tue Nov 08 03:16:48 GMT 2022","590","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Labels Usage basic test",""
"passed","Tue Nov 08 03:16:49 GMT 2022","Tue Nov 08 03:16:49 GMT 2022","300","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Epics Usage basic test",""
"passed","Tue Nov 08 03:16:50 GMT 2022","Tue Nov 08 03:16:50 GMT 2022","305","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Steps usage Attachments Usage basic test",""
"passed","Tue Nov 08 03:16:49 GMT 2022","Tue Nov 08 03:16:49 GMT 2022","365","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Id Usage basic test",""
"passed","Tue Nov 08 03:16:48 GMT 2022","Tue Nov 08 03:16:49 GMT 2022","325","chromium","allure-reports.spec.ts","Unit Tests for Allure Reports","","","Links Usage basic test",""
