"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 17 03:11:25 GMT 2022","Thu Nov 17 03:11:26 GMT 2022","354","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"passed","Thu Nov 17 03:11:22 GMT 2022","Thu Nov 17 03:11:24 GMT 2022","1562","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Labels Usage basic test",""
"passed","Thu Nov 17 03:12:12 GMT 2022","Thu Nov 17 03:12:16 GMT 2022","3950","e2e webkit","src/tests/e2e/order.spec.ts","Tests for Swag","","","Order from the inventory and check out",""
"passed","Thu Nov 17 03:11:22 GMT 2022","Thu Nov 17 03:11:22 GMT 2022","12","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Default with process",""
"skipped","Thu Nov 17 03:11:48 GMT 2022","Thu Nov 17 03:11:48 GMT 2022","1","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","My first screenshot",""
"passed","Thu Nov 17 03:11:26 GMT 2022","Thu Nov 17 03:11:26 GMT 2022","191","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"passed","Thu Nov 17 03:11:50 GMT 2022","Thu Nov 17 03:11:53 GMT 2022","2832","e2e","src/tests/e2e/order.spec.ts","Tests for Swag","","","Order from the inventory and check out",""
"skipped","Thu Nov 17 03:12:16 GMT 2022","Thu Nov 17 03:12:16 GMT 2022","313","e2e webkit","src/tests/e2e/order.spec.ts","Tests for Swag","","","Order from the inventory and check out with visual regression",""
"passed","Thu Nov 17 03:11:48 GMT 2022","Thu Nov 17 03:11:50 GMT 2022","1828","e2e","src/tests/e2e/login-logout.spec.ts","Tests for Swag","","","Logging in and out with standard user",""
"passed","Thu Nov 17 03:12:02 GMT 2022","Thu Nov 17 03:12:12 GMT 2022","9573","e2e webkit","src/tests/e2e/login-logout.spec.ts","Tests for Swag","","","Logging in and out with standard user",""
"skipped","Thu Nov 17 03:11:48 GMT 2022","Thu Nov 17 03:11:48 GMT 2022","0","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","third screenshot",""
"passed","Thu Nov 17 03:11:29 GMT 2022","Thu Nov 17 03:11:48 GMT 2022","18618","functional","src/tests/functional/lighthouse.spec.ts","Sample audit example","","","open browser",""
"passed","Thu Nov 17 03:11:26 GMT 2022","Thu Nov 17 03:11:26 GMT 2022","466","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"passed","Thu Nov 17 03:11:22 GMT 2022","Thu Nov 17 03:11:22 GMT 2022","4","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check NODE ENV",""
"passed","Thu Nov 17 03:11:22 GMT 2022","Thu Nov 17 03:11:22 GMT 2022","6","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with environment and override",""
