"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 17 03:33:16 GMT 2022","Thu Nov 17 03:33:19 GMT 2022","2893","e2e","src/tests/e2e/order.spec.ts","Tests for Swag","","","Order from the inventory and check out",""
"passed","Thu Nov 17 03:32:33 GMT 2022","Thu Nov 17 03:32:52 GMT 2022","19098","functional","src/tests/functional/lighthouse.spec.ts","Sample audit example","","","open browser",""
"failed","Thu Nov 17 03:33:19 GMT 2022","Thu Nov 17 03:33:22 GMT 2022","3610","e2e","src/tests/e2e/order.spec.ts","Tests for Swag","","","Order from the inventory and check out with visual regression",""
"passed","Thu Nov 17 03:32:28 GMT 2022","Thu Nov 17 03:32:28 GMT 2022","16","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Default with process",""
"passed","Thu Nov 17 03:32:32 GMT 2022","Thu Nov 17 03:32:32 GMT 2022","143","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","api test",""
"passed","Thu Nov 17 03:32:28 GMT 2022","Thu Nov 17 03:32:28 GMT 2022","4","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with override",""
"failed","Thu Nov 17 03:32:57 GMT 2022","Thu Nov 17 03:33:00 GMT 2022","2551","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","second screenshot",""
"passed","Thu Nov 17 03:32:31 GMT 2022","Thu Nov 17 03:32:31 GMT 2022","353","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"passed","Thu Nov 17 03:32:30 GMT 2022","Thu Nov 17 03:32:31 GMT 2022","367","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"passed","Thu Nov 17 03:32:30 GMT 2022","Thu Nov 17 03:32:30 GMT 2022","370","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Id Usage basic test",""
"passed","Thu Nov 17 03:32:28 GMT 2022","Thu Nov 17 03:32:28 GMT 2022","8","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with environment and override",""
"passed","Thu Nov 17 03:32:29 GMT 2022","Thu Nov 17 03:32:30 GMT 2022","410","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Links Usage basic test",""
"passed","Thu Nov 17 03:32:28 GMT 2022","Thu Nov 17 03:32:28 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with environment",""
"passed","Thu Nov 17 03:32:28 GMT 2022","Thu Nov 17 03:32:29 GMT 2022","705","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Labels Usage basic test",""
"passed","Thu Nov 17 03:32:32 GMT 2022","Thu Nov 17 03:32:32 GMT 2022","49","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","passing context api test",""
"passed","Thu Nov 17 03:32:28 GMT 2022","Thu Nov 17 03:32:28 GMT 2022","5","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check CI",""
"passed","Thu Nov 17 03:32:30 GMT 2022","Thu Nov 17 03:32:30 GMT 2022","365","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Epics Usage basic test",""
"passed","Thu Nov 17 03:32:28 GMT 2022","Thu Nov 17 03:32:28 GMT 2022","5","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check NODE ENV",""
"passed","Thu Nov 17 03:32:28 GMT 2022","Thu Nov 17 03:32:28 GMT 2022","4","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default",""
"failed","Thu Nov 17 03:33:02 GMT 2022","Thu Nov 17 03:33:04 GMT 2022","1498","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","third screenshot",""
"passed","Thu Nov 17 03:32:31 GMT 2022","Thu Nov 17 03:32:31 GMT 2022","268","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"passed","Thu Nov 17 03:32:32 GMT 2022","Thu Nov 17 03:32:33 GMT 2022","1079","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","intercept me",""
"passed","Thu Nov 17 03:33:04 GMT 2022","Thu Nov 17 03:33:06 GMT 2022","2019","e2e","src/tests/e2e/login-logout.spec.ts","Tests for Swag","","","Logging in and out with standard user",""
"passed","Thu Nov 17 03:32:28 GMT 2022","Thu Nov 17 03:32:28 GMT 2022","4","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check local with process",""
"failed","Thu Nov 17 03:32:54 GMT 2022","Thu Nov 17 03:32:55 GMT 2022","1118","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","My first screenshot",""
"passed","Thu Nov 17 03:32:31 GMT 2022","Thu Nov 17 03:32:32 GMT 2022","476","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Steps usage basic test",""
