"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 17 03:51:12 GMT 2022","Thu Nov 17 03:51:12 GMT 2022","6","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with environment and override",""
"passed","Thu Nov 17 03:51:12 GMT 2022","Thu Nov 17 03:51:12 GMT 2022","4","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check CI",""
"passed","Thu Nov 17 03:51:15 GMT 2022","Thu Nov 17 03:51:16 GMT 2022","418","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Steps usage basic test",""
"passed","Thu Nov 17 03:51:16 GMT 2022","Thu Nov 17 03:51:16 GMT 2022","360","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","api test",""
"passed","Thu Nov 17 03:51:15 GMT 2022","Thu Nov 17 03:51:15 GMT 2022","211","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"passed","Thu Nov 17 03:51:38 GMT 2022","Thu Nov 17 03:51:38 GMT 2022","747","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","third screenshot @visual",""
"passed","Thu Nov 17 03:51:12 GMT 2022","Thu Nov 17 03:51:12 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check local with process",""
"passed","Thu Nov 17 03:51:41 GMT 2022","Thu Nov 17 03:51:43 GMT 2022","2224","e2e","src/tests/e2e/order.spec.ts","Tests for Swag","","","Order from the inventory and check out",""
"passed","Thu Nov 17 03:51:13 GMT 2022","Thu Nov 17 03:51:14 GMT 2022","362","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Links Usage basic test",""
"passed","Thu Nov 17 03:51:16 GMT 2022","Thu Nov 17 03:51:17 GMT 2022","910","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","intercept me",""
"passed","Thu Nov 17 03:51:43 GMT 2022","Thu Nov 17 03:51:46 GMT 2022","3522","e2e","src/tests/e2e/order.spec.ts","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
"passed","Thu Nov 17 03:51:36 GMT 2022","Thu Nov 17 03:51:38 GMT 2022","1445","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","second screenshot @visual",""
"passed","Thu Nov 17 03:51:12 GMT 2022","Thu Nov 17 03:51:12 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with override",""
"passed","Thu Nov 17 03:51:12 GMT 2022","Thu Nov 17 03:51:12 GMT 2022","14","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Default with process",""
"passed","Thu Nov 17 03:51:14 GMT 2022","Thu Nov 17 03:51:15 GMT 2022","397","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"passed","Thu Nov 17 03:51:15 GMT 2022","Thu Nov 17 03:51:15 GMT 2022","337","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"passed","Thu Nov 17 03:51:14 GMT 2022","Thu Nov 17 03:51:14 GMT 2022","347","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Epics Usage basic test",""
"passed","Thu Nov 17 03:51:16 GMT 2022","Thu Nov 17 03:51:16 GMT 2022","130","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","passing context api test",""
"passed","Thu Nov 17 03:51:39 GMT 2022","Thu Nov 17 03:51:41 GMT 2022","1668","e2e","src/tests/e2e/login-logout.spec.ts","Tests for Swag","","","Logging in and out with standard user",""
"passed","Thu Nov 17 03:51:12 GMT 2022","Thu Nov 17 03:51:13 GMT 2022","1208","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Labels Usage basic test",""
"passed","Thu Nov 17 03:51:12 GMT 2022","Thu Nov 17 03:51:12 GMT 2022","4","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check NODE ENV",""
"passed","Thu Nov 17 03:51:17 GMT 2022","Thu Nov 17 03:51:35 GMT 2022","17592","functional","src/tests/functional/lighthouse.spec.ts","Sample audit example","","","open browser",""
"passed","Thu Nov 17 03:51:14 GMT 2022","Thu Nov 17 03:51:14 GMT 2022","352","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Id Usage basic test",""
"passed","Thu Nov 17 03:51:12 GMT 2022","Thu Nov 17 03:51:12 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default",""
"passed","Thu Nov 17 03:51:35 GMT 2022","Thu Nov 17 03:51:36 GMT 2022","1144","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression","","","My first screenshot @visual",""
"passed","Thu Nov 17 03:51:12 GMT 2022","Thu Nov 17 03:51:12 GMT 2022","1","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with environment",""
