"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 25 22:05:04 GMT 2022","Fri Nov 25 22:05:04 GMT 2022","3","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default",""
"passed","Fri Nov 25 22:05:35 GMT 2022","Fri Nov 25 22:05:46 GMT 2022","11271","functional","src/tests/functional/lighthouse.spec.ts","Lighthouse Sample Audit @lighthouse","","","Sauce Demo landing page",""
"passed","Fri Nov 25 22:05:08 GMT 2022","Fri Nov 25 22:05:09 GMT 2022","840","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","intercept me",""
"passed","Fri Nov 25 22:05:48 GMT 2022","Fri Nov 25 22:05:49 GMT 2022","687","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression @visual","","","third screenshot",""
"passed","Fri Nov 25 22:05:06 GMT 2022","Fri Nov 25 22:05:07 GMT 2022","368","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Screenshot usage basic test",""
"passed","Fri Nov 25 22:05:04 GMT 2022","Fri Nov 25 22:05:04 GMT 2022","1","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with environment",""
"passed","Fri Nov 25 22:05:18 GMT 2022","Fri Nov 25 22:05:35 GMT 2022","16626","functional","src/tests/functional/lighthouse.spec.ts","Lighthouse Sample Audit @lighthouse","","","Angular landing page",""
"passed","Fri Nov 25 22:05:04 GMT 2022","Fri Nov 25 22:05:04 GMT 2022","14","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Default with process",""
"passed","Fri Nov 25 22:05:06 GMT 2022","Fri Nov 25 22:05:06 GMT 2022","282","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Stories Usage basic test",""
"passed","Fri Nov 25 22:05:47 GMT 2022","Fri Nov 25 22:05:48 GMT 2022","1542","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression @visual","","","second screenshot",""
"passed","Fri Nov 25 22:05:04 GMT 2022","Fri Nov 25 22:05:04 GMT 2022","4","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check NODE ENV",""
"passed","Fri Nov 25 22:05:09 GMT 2022","Fri Nov 25 22:05:11 GMT 2022","2317","functional","src/tests/functional/codegen-process.spec.ts","Codegen Process to POM @codegen","","","Codegen raw capture of ordering",""
"passed","Fri Nov 25 22:05:07 GMT 2022","Fri Nov 25 22:05:07 GMT 2022","387","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Steps usage basic test",""
"passed","Fri Nov 25 22:05:17 GMT 2022","Fri Nov 25 22:05:18 GMT 2022","879","functional","src/tests/functional/codegen-process.spec.ts","Codegen Process to POM @codegen","","","Codegen Start New",""
"passed","Fri Nov 25 22:05:15 GMT 2022","Fri Nov 25 22:05:17 GMT 2022","2202","functional","src/tests/functional/codegen-process.spec.ts","Codegen Process to POM @codegen","","","Codegen Final Phase add Workflow",""
"passed","Fri Nov 25 22:05:07 GMT 2022","Fri Nov 25 22:05:07 GMT 2022","307","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"passed","Fri Nov 25 22:05:11 GMT 2022","Fri Nov 25 22:05:13 GMT 2022","1869","functional","src/tests/functional/codegen-process.spec.ts","Codegen Process to POM @codegen","","","Codegen Phase 1 clean up",""
"passed","Fri Nov 25 22:05:07 GMT 2022","Fri Nov 25 22:05:08 GMT 2022","374","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","api test",""
